LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE
,,,,,42858,FLOOR CRYSTALLOIDS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42862,Fendolapam,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42864,ER CRYSTALLOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42865,Lepriudin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42866,cell saver in OR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42875,cc6 ivf,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42876,ER CRYSTALLOIDS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42878,IR IN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42879,Pre adm-Floor IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42886,NS CT IRRIGATION,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42887,Travasol,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42888,D5W 10%ALCOHOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42894,iv contrast,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42895,MANNITOL 20 %.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42896,NS 150MEQ SOD BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42897,D5W 300MEQ BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42898,D5W 20GMS CA GLUC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42899,FLUCONAZOLE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42900,L FEM,,inputevents_cv,0,,,,,carevue,,,
,,,,,42901,Right brachial site,,inputevents_cv,0,,,,,carevue,,,
,,,,,42902,right femerol,,inputevents_cv,0,,,,,carevue,,,
,,,,,42908,NS W/ 20 GM CAGLUC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42913,angio,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42914,Total IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42915,D5W/10GM CAGLUC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42916,calcium gluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42917,D5W/CAGLU 40GMS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42920,EW FLUID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42921,d5 .225 with 20meq l,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42923,Integrellin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42924,IR CRYST.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42925,L CT SITE,,inputevents_cv,0,,,,,carevue,,,
,,,,,42927,AMPHO B,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42931,HD in,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42932,10% alcohol,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42933,XYGRIS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42935,CT # 6 & # 2 RT,,inputevents_cv,0,,,,,carevue,,,
,,,,,42938,IR INTAKE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42939,1/4ns w 100meqnahco3,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42940,co injectate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42941,I.R. EBL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42942,I.R. intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42944,dextran,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42947,ER in,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42948,CONTRAST VIA NG/FT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42949,duodenal,,inputevents_cv,0,,,,,carevue,,,
,,,,,42954,Angio IN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42955,PLASMAKYTE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42956,mucus stoma,,inputevents_cv,0,,,,,carevue,,,
,,,,,42959,FS PROBALANCE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42965,xigris mcg/kg/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42967,Nicardipine (mg/h),,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42971,saturated chux pad,,inputevents_cv,0,,,,,carevue,,,
,,,,,42975,DEXTRAN DRIP,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42976,CATH LAB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42978,D5LR 20KCL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42979,NS w/30mmol Kphos,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42980,D5 1/4 SODIUM BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42981,Bladder transd.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42985,Pamidronate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42989,DILAUDID/BUPIV.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42990,BUPIVACAINE .50%,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42993,10 mea KCL/100cc NS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42994,K PHOS 15 MMOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42995,F6 IV MEDS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42996,F6 PO INTAKE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42998,alcohol gtt,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,42999,Sodium Bicarb,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43002,F6 U/O,,inputevents_cv,0,,,,,carevue,,,
,,,,,43007,MultiVitamin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43008,cryo or,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43009,ffp pacu,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43010,packed cells pacu,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43013,ANTI-THYMOCYTEN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43014,ER NS BOLUSES,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43017,NET PD,,inputevents_cv,0,,,,,carevue,,,
,,,,,43018,magnesium 1gm/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43020,TPA 50mg/250cc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43021,TPA 50mg/250cc #2,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43023,probalance 15gm prom,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43031,steril water,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43032,40 kcl in 500ns,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43033,CALSTAT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43036,na phosp 15 mmol,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43037,nicardipine HCL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43038,Noe gtt 60mg/250cc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43039,ca gluc gtt,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43041,FA6 IVF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43044,BYPASS REMOVAL,,inputevents_cv,0,,,,,carevue,,,
,,,,,43047,BUMEX 12mg/500ml,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43049,FLOOR IN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43050,ca glu 40gm/1L,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43051,L. GROIN PUNCTURE,,inputevents_cv,0,,,,,carevue,,,
,,,,,43055,FARR 6 COLLOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43056,NA PHOS 15MMOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43059,Direct suction,,inputevents_cv,0,,,,,carevue,,,
,,,,,43061,40Gm CaGluc/1000ccNS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43062,D5W w/ 40gms cagluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43063,NS w/40gms CaGluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43070,Ca++ Gluconate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43073,NaPO4,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43076,h2o flush q 8hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43077,L. GROIN,,inputevents_cv,0,,,,,carevue,,,
,,,,,43080,NS w/30mmol NaPhos,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43081,QUICKMIX,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43083,g-t residual,,inputevents_cv,0,,,,,carevue,,,
,,,,,43086,Nicardipine gtt,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43087,3/4 RESPALOR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43088,1/2str impact/fiber,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43089,ns w/ 40 meq kcl,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43090,NICADRDIPINE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43091,GALLBLADDER DR FLUSH,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43092,INTAKE ED,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43097,vicu intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43107,intake from floor,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43108,contrast via ng,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43109,Golytly,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43112,preadmit to ICU NS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43113,SOIDUM PHOSPHATE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43118,probalance tf,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43122,rectal irrigation,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43125,xigris cc/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43126,d5w/40 gm ca gluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43131,iv intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43132,RL + 20K/100,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43134,1/2 STR IMPACT/FIBER,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43135,NS/40GM CA GLU,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43136,DEXMEDETOMIDINE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43137,"GT, straight, perf'd",,inputevents_cv,0,,,,,carevue,,,
,,,,,43139,HCL GTTS 75MEQ/500ML,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43140,D5W/1L/2AMP BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43141,PD,,inputevents_cv,0,,,,,carevue,,,
,,,,,43147,1/2STR PROMOTE/FIBER,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43168,d10 bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43169,Bicarb drip,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43170,TPN D21.5 with hep,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43228,D10W BOLUS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43229,D10 bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43230,Portagen,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43232,1/2 NS flush,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43233,TPN D10.5 with hep,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43234,TPND10.5 with hep,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43235,contrast dye,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43237,25% Albumin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43238,Potassium Chl. Bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43240,Portagen w/PoMod NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43241,Portagen 20 cal po,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43242,portagen,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43319,Carnation Good Start,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43320,D10W NSS W/.5Uhep.:,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43321,D14.5 lytes and hep,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43322,Lipid tubing change,,inputevents_cv,0,,,,,carevue,,,
,,,,,43332,void,,inputevents_cv,0,,,,,carevue,,,
,,,,,43346,tpn d13.5 with hepan,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43353,Albumin (human) 25%,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43354,normal saline flushs,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43356,Lt. upper CT,,inputevents_cv,0,,,,,carevue,,,
,,,,,43357,Rt. upper CT,,inputevents_cv,0,,,,,carevue,,,
,,,,,43364,kcl infusion,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43366,ur.cc/kg/hr,,inputevents_cv,0,,,,,carevue,,,
,,,,,43367,Portagen NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43370,Portagen 24,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43381,cc/kg/hr,,inputevents_cv,0,,,,,carevue,,,
,,,,,43387,Fentanyl bolus:,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43394,Similac,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43395,3/4 str Prosobee,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43403,IV D10W BOLUS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43406,.45 NS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43407,Rectal irrigation,,inputevents_cv,0,,,,,carevue,,,
,,,,,43418,D10w BOLUS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43423,D10W bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43424,PE20 FS PO,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43425,PE20 PG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43426,Subgaleal shunt dng,,inputevents_cv,0,,,,,carevue,,,
,,,,,43432,Similac w/ iron,,inputevents_cv,0,,,,,carevue,,,
,,,,,43438,D12.5 bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43439,NG EAR 30cal,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43440,PO EAR30 cal,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43444,GT vent,,inputevents_cv,0,,,,,carevue,,,
,,,,,43457,PE24FSPO+MCT+Poly+PM,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43461,IV meds and flushes,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43465,Alimentum 28 NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43466,Alimentum 28 po,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43469,PE24FSNG+Promod+HMF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43470,PE24FSPO+Promod+HMF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43471,D10 Bolus,,inputevents_cv,0,,,,,carevue,,,
,,,,,43472,ur/kg/hr,,inputevents_cv,0,,,,,carevue,,,
,,,,,43473,IV Meds,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43474,GT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43475,Prosobee 20cal GT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43476,Prosobee 24cal GT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43485,Nutramagen,,inputevents_cv,0,,,,,carevue,,,
,,,,,43488,Portagen 20cal,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43493,Umbi hernia,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43497,PE24+2HMF NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43505,PE24NG+MCT+Promod,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43506,PE24NG+2MCT+Promod,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43507,PE24PO+2MCT+Promod,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43508,ENFAMIL AR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43509,ENFAMIL AR 28 cal,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43514,SIMILAC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43515,NEOSURE 22,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43516,Neosure with 2 polye,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43520,ml/kg/day,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43521,ml/kg/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43526,ur/cc/kg/hr,,inputevents_cv,0,,,,,carevue,,,
,,,,,43532,Needle Aspiration,,inputevents_cv,0,,,,,carevue,,,
,,,,,43539,repogle,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43540,PN D10.5W,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43541,Pregestimil 22cal NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43542,Pregestimil 22cal PO,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43547,urcc/kg/day,,inputevents_cv,0,,,,,carevue,,,
,,,,,43548,ur cc/kg/hr,,inputevents_cv,0,,,,,carevue,,,
,,,,,43553,PE22 PO,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43555,TPN D24,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43571,nitrates,,inputevents_cv,0,,,,,carevue,,,
,,,,,43572,drooling,,inputevents_cv,0,,,,,carevue,,,
,,,,,43583,UO/KG/hour,,inputevents_cv,0,,,,,carevue,,,
,,,,,43584,Sterile Water NG,,inputevents_cv,0,NG Feeding,,,,carevue,,,
,,,,,43586,D10w Bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43588,.45%NS FLUSH,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43590,ur/cc/kg,,inputevents_cv,0,,,,,carevue,,,
,,,,,43593,IV D6W,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43597,Hep Flush,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43598,GT Pedialyte,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43599,Enfamil AR 24 GT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43616,ALIMENTUM 24CAL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43619,Bicarb,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43622,cc/kg,,inputevents_cv,0,,,,,carevue,,,
,,,,,43631,Neosure 22 NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43632,Neosure 22 PO,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43636,cc/k/h,,inputevents_cv,0,,,,,carevue,,,
,,,,,43639,UR.cc/kg/hr,,inputevents_cv,0,,,,,carevue,,,
,,,,,43647,UO cc/k/hour,,inputevents_cv,0,,,,,carevue,,,
,,,,,43648,D-10 Bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43649,Cerebral Spinal Fld. LP,,inputevents_cv,0,,,,,carevue,,,
,,,,,43656,Sucrose,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43657,Similac 60/40,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43661,bicarb,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43663,.9% NS flush,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43664,PN-D11.5 with heparn,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43674,Sodium Phosphate IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43677,cyclosporin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43678,APC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43683,mucomyst,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43689,HD fluid removal,,inputevents_cv,0,,,,,carevue,,,
,,,,,43693,cyclosporin iv drip,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43699,d5 1/4 ns,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43700,Solumedrol mg/kg/min,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43701,ns with 2 amps bicab,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43704,er in,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43707,RLQ OPEN AREA,,inputevents_cv,0,,,,,carevue,,,
,,,,,43708,left groin site,,inputevents_cv,0,,,,,carevue,,,
,,,,,43709,L.ARM BAG,,inputevents_cv,0,,,,,carevue,,,
,,,,,43712,Pregesimil FS PO,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43713,Pregestilmil FS NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43719,golytle prep,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43720,ivf on medical floor,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43725,D5W 150meq Sod Bicar,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43726,cagluc (40gm/l),,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43727,bupivacaine.1% popli,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43728,bupivacaine.1% r axi,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43733,D5W & 40Gm CaGluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43739,OR INPUT CRYSTALLOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43740,EBL FROM OR,,inputevents_cv,0,,,,,carevue,,,
,,,,,43744,NS bladder pressure,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43745,k phos 15 mm,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43746,gastrografin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43747,CALCIUM,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43750,ANGIO CRYSTTALOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43757,JT flush,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43759,NS 40K 500CC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43763,Bladder presure,,inputevents_cv,0,,,,,carevue,,,
,,,,,43764,circ,,inputevents_cv,0,,,,,carevue,,,
,,,,,43765,NS/10MG XIGRIS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43766,Similac 24 cals/oz,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43767,Sim-24,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43768,Sim-24(NG),,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43772,thoracentisis,,inputevents_cv,0,,,,,carevue,,,
,,,,,43773,barium prep,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43774,Sim-26 w/promod,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43775,Sim-26 w/promod (PG),,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43776,Sim-26 w/promod(PO),,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43777,Sim-26 w/promod (PO),,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43778,CITRATE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43798,FARR 10 INTAKE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43799,1:1 U/O REPLETION,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43810,0.5:1 U/O REPLETION,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43813,wound leakage,,inputevents_cv,0,,,,,carevue,,,
,,,,,43819,1:1 NS Repletion.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43823,D5W 100MEQ BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43825,.5:1 NS REPLETION,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43826,HYDROCHLORIDE ACID G,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43829,PERITONEAL DIALYSATE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43835,EW IN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43838,500ns/40meqkcl,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43839,cryst in ed,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43845,ascites fld,,inputevents_cv,0,,,,,carevue,,,
,,,,,43852,readicat contrast,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43855,Vaginal and Back Wnd,,inputevents_cv,0,,,,,carevue,,,
,,,,,43861,PD Intake,,inputevents_cv,0,,,,,carevue,,,
,,,,,43864,PD intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43865,St.H20/Na Acetate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
,,,,,43866,3/4 STR IMPACT/FIBER,,inputevents_cv,0,Free Form Intake,,,,carevue,,,
